SYMBOL,DATE,itime,rtime,iprice
AA,20020102,9:30:00,,35.9
AA,20020102,9:45:00,9:44:31,35.48
AA,20020102,10:00:00,9:59:23,35.61
AA,20020102,10:15:00,10:14:53,35.75
AA,20020102,10:30:00,10:29:53,35.67
AA,20020102,10:45:00,10:44:56,35.44
AA,20020102,11:00:00,10:59:49,35.5
AA,20020102,11:15:00,11:14:39,35.59
AA,20020102,11:30:00,11:29:56,35.67
AA,20020102,11:45:00,11:43:44,35.53
AA,20020102,12:00:00,11:59:35,35.58
AA,20020102,12:15:00,12:14:41,35.65
AA,20020102,12:30:00,12:29:55,35.64
AA,20020102,12:45:00,12:44:27,35.44
AA,20020102,13:00:00,12:58:58,35.54
AA,20020102,13:15:00,13:14:39,35.45
AA,20020102,13:30:00,13:29:55,35.37
AA,20020102,13:45:00,13:44:53,35.42
AA,20020102,14:00:00,13:59:58,35.59
AA,20020102,14:15:00,14:13:37,35.41
AA,20020102,14:30:00,14:29:46,35.4
AA,20020102,14:45:00,14:44:42,35.49
AA,20020102,15:00:00,14:59:57,35.5
AA,20020102,15:15:00,15:14:59,35.54
AA,20020102,15:30:00,15:29:58,35.59
AA,20020102,15:45:00,15:44:59,35.74
AA,20020102,16:00:00,15:59:53,35.62
AA,20020103,9:30:00,16:08:07,35.93
AA,20020103,9:45:00,9:44:48,35.94
AA,20020103,10:00:00,9:59:57,36.04
AA,20020103,10:15:00,10:14:58,36.12
AA,20020103,10:30:00,10:29:55,36.15
AA,20020103,10:45:00,10:44:56,36.1
AA,20020103,11:00:00,10:59:53,36.16
AA,20020103,11:15:00,11:14:43,36.25
AA,20020103,11:30:00,11:29:38,36.32
AA,20020103,11:45:00,11:44:41,36.3
AA,20020103,12:00:00,11:59:54,36.3
AA,20020103,12:15:00,12:14:16,36.27
AA,20020103,12:30:00,12:29:54,36.12
AA,20020103,12:45:00,12:44:52,36.09
AA,20020103,13:00:00,12:59:55,36.13
AA,20020103,13:15:00,13:14:57,36.08
AA,20020103,13:30:00,13:29:57,36.08
AA,20020103,13:45:00,13:44:59,36.12
AA,20020103,14:00:00,13:59:56,36.1
AA,20020103,14:15:00,14:14:55,36.08
AA,20020103,14:30:00,14:29:44,36.15
AA,20020103,14:45:00,14:44:58,36.16
AA,20020103,15:00:00,14:59:38,36.16
AA,20020103,15:15:00,15:14:45,36.17
AA,20020103,15:30:00,15:29:48,36.13
AA,20020103,15:45:00,15:44:49,36.03
AA,20020103,16:00:00,15:59:57,36.13
AA,20020104,9:30:00,16:06:48,36.75
AA,20020104,9:45:00,9:44:49,36.76
AA,20020104,10:00:00,9:59:45,36.9
AA,20020104,10:15:00,10:14:55,37.12
AA,20020104,10:30:00,10:29:48,37.06
AA,20020104,10:45:00,10:44:57,36.84
AA,20020104,11:00:00,10:59:25,36.95
AA,20020104,11:15:00,11:14:51,37.12
AA,20020104,11:30:00,11:29:56,37.19
AA,20020104,11:45:00,11:44:59,37.21
AA,20020104,12:00:00,11:59:40,37.17
AA,20020104,12:15:00,12:14:47,37.32
AA,20020104,12:30:00,12:29:51,37.41
AA,20020104,12:45:00,12:44:55,37.5
AA,20020104,13:00:00,12:59:37,37.7
AA,20020104,13:15:00,13:14:44,37.73
AA,20020104,13:30:00,13:29:53,37.69
AA,20020104,13:45:00,13:44:57,37.81
AA,20020104,14:00:00,13:59:57,37.67
AA,20020104,14:15:00,14:14:59,37.75
AA,20020104,14:30:00,14:29:59,37.75
AA,20020104,14:45:00,14:44:51,37.67
AA,20020104,15:00:00,14:59:54,37.55
AA,20020104,15:15:00,15:14:57,37.55
AA,20020104,15:30:00,15:29:56,37.52
AA,20020104,15:45:00,15:44:56,37.47
AA,20020104,16:00:00,15:59:47,37.31
AA,20020107,9:30:00,16:11:47,37.8
AA,20020107,9:45:00,9:44:38,38.08
AA,20020107,10:00:00,9:59:58,38.22
AA,20020107,10:15:00,10:14:51,38.3
AA,20020107,10:30:00,10:29:56,38.29
AA,20020107,10:45:00,10:44:57,38.34
AA,20020107,11:00:00,10:59:59,38.36
AA,20020107,11:15:00,11:14:45,38.36
AA,20020107,11:30:00,11:29:54,38.29
AA,20020107,11:45:00,11:44:53,38.3
AA,20020107,12:00:00,11:59:35,38.28
AA,20020107,12:15:00,12:14:30,38.37
AA,20020107,12:30:00,12:29:38,38.48
AA,20020107,12:45:00,12:44:59,38.55
AA,20020107,13:00:00,12:59:49,38.45
AA,20020107,13:15:00,13:14:59,38.36
AA,20020107,13:30:00,13:29:57,38.45
AA,20020107,13:45:00,13:44:59,38.43
AA,20020107,14:00:00,13:59:55,38.44
AA,20020107,14:15:00,14:14:59,38.3
AA,20020107,14:30:00,14:29:59,38.27
AA,20020107,14:45:00,14:44:53,38.28
AA,20020107,15:00:00,14:59:58,38.34
AA,20020107,15:15:00,15:14:58,38.3
AA,20020107,15:30:00,15:29:56,38.21
AA,20020107,15:45:00,15:44:57,38.16
AA,20020107,16:00:00,15:59:05,38.02
AA,20020108,9:30:00,16:11:54,38.5
AA,20020108,9:45:00,9:44:51,37.6
AA,20020108,10:00:00,9:59:42,37.57
AA,20020108,10:15:00,10:14:28,37.6
AA,20020108,10:30:00,10:29:57,37.87
AA,20020108,10:45:00,10:44:56,37.43
AA,20020108,11:00:00,10:59:30,37.25
AA,20020108,11:15:00,11:14:56,37.42
AA,20020108,11:30:00,11:29:55,37.49
AA,20020108,11:45:00,11:44:58,37.49
