SYMBOL,DATE,itime,rtime,iprice
AA,20100104,9:30:00,,16.47
AA,20100104,9:45:00,9:44:59,16.48
AA,20100104,10:00:00,9:59:59,16.5101
AA,20100104,10:15:00,10:14:59,16.72
AA,20100104,10:30:00,10:29:59,16.83
AA,20100104,10:45:00,10:44:59,16.79
AA,20100104,11:00:00,10:59:58,16.7025
AA,20100104,11:15:00,11:14:59,16.6731
AA,20100104,11:30:00,11:29:57,16.71
AA,20100104,11:45:00,11:44:59,16.73
AA,20100104,12:00:00,11:59:59,16.69
AA,20100104,12:15:00,12:14:56,16.63
AA,20100104,12:30:00,12:29:58,16.6521
AA,20100104,12:45:00,12:44:59,16.6902
AA,20100104,13:00:00,12:59:59,16.73
AA,20100104,13:15:00,13:14:57,16.6875
AA,20100104,13:30:00,13:29:55,16.71
AA,20100104,13:45:00,13:44:59,16.72
AA,20100104,14:00:00,13:59:59,16.688
AA,20100104,14:15:00,14:14:58,16.66
AA,20100104,14:30:00,14:29:57,16.6405
AA,20100104,14:45:00,14:44:59,16.67
AA,20100104,15:00:00,14:59:59,16.63
AA,20100104,15:15:00,15:14:59,16.63
AA,20100104,15:30:00,15:29:58,16.6
AA,20100104,15:45:00,15:44:59,16.61
AA,20100104,16:00:00,15:59:59,16.64
AA,20100104,16:15:00,16:13:00,16.69
AA,20100105,9:30:00,16:26:56,16.82
AA,20100105,9:45:00,9:44:58,16.63
AA,20100105,10:00:00,9:59:59,16.62
AA,20100105,10:15:00,10:14:59,16.63
AA,20100105,10:30:00,10:29:59,16.54
AA,20100105,10:45:00,10:44:58,16.4879
AA,20100105,11:00:00,10:59:59,16.42
AA,20100105,11:15:00,11:14:59,16.47
AA,20100105,11:30:00,11:29:59,16.2911
AA,20100105,11:45:00,11:44:59,16.25
AA,20100105,12:00:00,11:59:50,16.1883
AA,20100105,12:15:00,12:14:59,16.3099
AA,20100105,12:30:00,12:29:59,16.28
AA,20100105,12:45:00,12:44:56,16.28
AA,20100105,13:00:00,12:59:58,16.19
AA,20100105,13:15:00,13:14:59,16.16
AA,20100105,13:30:00,13:29:57,16.0668
AA,20100105,13:45:00,13:44:58,16.11
AA,20100105,14:00:00,13:59:59,16.13
AA,20100105,14:15:00,14:14:59,16.07
AA,20100105,14:30:00,14:29:58,16.11
AA,20100105,14:45:00,14:44:59,16.0999
AA,20100105,15:00:00,14:59:56,16.1298
AA,20100105,15:15:00,15:14:58,16.12
AA,20100105,15:30:00,15:29:59,16.0702
AA,20100105,15:45:00,15:44:58,16.08
AA,20100105,16:00:00,15:59:59,16.12
AA,20100105,16:15:00,16:12:28,16.2978
AA,20100106,9:30:00,16:27:07,16.31
AA,20100106,9:45:00,9:44:59,16.3901
AA,20100106,10:00:00,9:59:59,16.5411
AA,20100106,10:15:00,10:14:59,16.59
AA,20100106,10:30:00,10:29:57,16.622
AA,20100106,10:45:00,10:44:59,16.62
AA,20100106,11:00:00,10:59:59,16.7216
AA,20100106,11:15:00,11:14:55,16.62
AA,20100106,11:30:00,11:29:58,16.69
AA,20100106,11:45:00,11:44:59,16.7301
AA,20100106,12:00:00,11:59:56,16.64
AA,20100106,12:15:00,12:14:59,16.655
AA,20100106,12:30:00,12:29:58,16.64
AA,20100106,12:45:00,12:44:59,16.65
AA,20100106,13:00:00,12:59:59,16.71
AA,20100106,13:15:00,13:14:49,16.672
AA,20100106,13:30:00,13:29:58,16.78
AA,20100106,13:45:00,13:44:59,16.85
AA,20100106,14:00:00,13:59:57,16.87
AA,20100106,14:15:00,14:14:59,16.9899
AA,20100106,14:30:00,14:29:57,17.02
AA,20100106,14:45:00,14:44:57,16.98
AA,20100106,15:00:00,14:59:59,17.03
AA,20100106,15:15:00,15:14:57,17.03
AA,20100106,15:30:00,15:29:58,17.01
AA,20100106,15:45:00,15:44:58,17.01
AA,20100106,16:00:00,15:59:59,16.94
AA,20100106,16:15:00,16:14:54,16.96
AA,20100107,9:30:00,16:28:11,16.52
AA,20100107,9:45:00,9:44:59,16.57
AA,20100107,10:00:00,9:59:59,16.3897
AA,20100107,10:15:00,10:14:59,16.41
AA,20100107,10:30:00,10:29:59,16.3899
AA,20100107,10:45:00,10:44:59,16.44
AA,20100107,11:00:00,10:59:59,16.4401
AA,20100107,11:15:00,11:14:57,16.4699
AA,20100107,11:30:00,11:29:58,16.48
AA,20100107,11:45:00,11:44:58,16.4201
AA,20100107,12:00:00,11:59:59,16.4401
AA,20100107,12:15:00,12:14:59,16.45
AA,20100107,12:30:00,12:29:59,16.5
AA,20100107,12:45:00,12:44:58,16.49
AA,20100107,13:00:00,12:59:59,16.43
AA,20100107,13:15:00,13:14:59,16.4
AA,20100107,13:30:00,13:29:59,16.44
AA,20100107,13:45:00,13:44:51,16.44
AA,20100107,14:00:00,13:59:55,16.47
AA,20100107,14:15:00,14:14:58,16.47
AA,20100107,14:30:00,14:29:58,16.47
AA,20100107,14:45:00,14:44:59,16.53
AA,20100107,15:00:00,14:59:59,16.5221
AA,20100107,15:15:00,15:14:57,16.545
AA,20100107,15:30:00,15:29:57,16.6396
AA,20100107,15:45:00,15:44:57,16.6179
AA,20100107,16:00:00,15:59:57,16.59
AA,20100107,16:15:00,16:14:25,16.61
AA,20100108,9:30:00,16:24:50,16.46
AA,20100108,9:45:00,9:44:59,16.72
AA,20100108,10:00:00,9:59:59,16.92
AA,20100108,10:15:00,10:14:59,16.81
AA,20100108,10:30:00,10:29:57,16.783
AA,20100108,10:45:00,10:44:55,16.7901
AA,20100108,11:00:00,10:59:58,16.91
AA,20100108,11:15:00,11:14:55,16.93
AA,20100108,11:30:00,11:29:59,16.89
AA,20100108,11:45:00,11:44:59,16.85
AA,20100108,12:00:00,11:59:59,16.9
AA,20100108,12:15:00,12:14:53,16.88
AA,20100108,12:30:00,12:29:59,16.88
AA,20100108,12:45:00,12:44:56,16.97
AA,20100108,13:00:00,12:59:59,16.9201
AA,20100108,13:15:00,13:14:58,16.96
AA,20100108,13:30:00,13:29:57,16.92
AA,20100108,13:45:00,13:44:56,16.8795
AA,20100108,14:00:00,13:59:59,16.93
AA,20100108,14:15:00,14:14:56,16.93
AA,20100108,14:30:00,14:29:55,16.93
AA,20100108,14:45:00,14:44:57,16.93
AA,20100108,15:00:00,14:59:59,16.97
AA,20100108,15:15:00,15:14:54,16.97
AA,20100108,15:30:00,15:29:59,16.95
AA,20100108,15:45:00,15:44:59,16.96
AA,20100108,16:00:00,15:59:58,17
AA,20100108,16:15:00,16:12:34,16.98
AA,20100111,9:30:00,16:26:22,17.49
AA,20100111,9:45:00,9:44:59,17.39
AA,20100111,10:00:00,9:59:59,17.3917
AA,20100111,10:15:00,10:14:57,17.33
AA,20100111,10:30:00,10:29:59,17.4499
AA,20100111,10:45:00,10:44:59,17.2799
AA,20100111,11:00:00,10:59:54,17.325
AA,20100111,11:15:00,11:14:58,17.15
AA,20100111,11:30:00,11:29:58,17.18
AA,20100111,11:45:00,11:44:59,17.26
AA,20100111,12:00:00,11:59:57,17.2973
AA,20100111,12:15:00,12:14:59,17.2498
AA,20100111,12:30:00,12:29:59,17.24
AA,20100111,12:45:00,12:44:50,17.23
AA,20100111,13:00:00,12:59:57,17.1901
AA,20100111,13:15:00,13:14:58,17.188
AA,20100111,13:30:00,13:29:59,17.21
AA,20100111,13:45:00,13:44:57,17.1699
AA,20100111,14:00:00,13:59:55,17.19
AA,20100111,14:15:00,14:14:59,17.208
AA,20100111,14:30:00,14:29:58,17.24
AA,20100111,14:45:00,14:44:59,17.29
AA,20100111,15:00:00,14:59:59,17.3
AA,20100111,15:15:00,15:14:59,17.36
AA,20100111,15:30:00,15:29:59,17.42
AA,20100111,15:45:00,15:44:59,17.49
AA,20100111,16:00:00,15:59:59,17.44
AA,20100111,16:15:00,16:01:47,17.45
AA,20100112,9:30:00,16:23:50,16.12
AA,20100112,9:45:00,9:44:59,16
AA,20100112,10:00:00,9:59:59,15.99
AA,20100112,10:15:00,10:14:58,16.0599
AA,20100112,10:30:00,10:29:59,16
AA,20100112,10:45:00,10:44:59,16.0073
AA,20100112,11:00:00,10:59:59,15.95
AA,20100112,11:15:00,11:14:58,15.805
AA,20100112,11:30:00,11:29:59,15.9
AA,20100112,11:45:00,11:44:58,15.8206
AA,20100112,12:00:00,11:59:58,15.79
AA,20100112,12:15:00,12:14:56,15.8399
AA,20100112,12:30:00,12:29:59,15.77
AA,20100112,12:45:00,12:44:59,15.7
AA,20100112,13:00:00,12:59:57,15.61
AA,20100112,13:15:00,13:14:59,15.6199
AA,20100112,13:30:00,13:29:59,15.563
AA,20100112,13:45:00,13:44:59,15.625
AA,20100112,14:00:00,13:59:59,15.61
AA,20100112,14:15:00,14:14:59,15.52
AA,20100112,14:30:00,14:29:58,15.58
AA,20100112,14:45:00,14:44:58,15.52
AA,20100112,15:00:00,14:59:59,15.57
AA,20100112,15:15:00,15:14:58,15.54
AA,20100112,15:30:00,15:29:57,15.53
AA,20100112,15:45:00,15:44:59,15.51
AA,20100112,16:00:00,15:59:59,15.51
AA,20100112,16:15:00,16:14:59,15.53
AA,20100113,9:30:00,16:29:32,15.77
AA,20100113,9:45:00,9:44:58,15.6
AA,20100113,10:00:00,9:59:58,15.4579
AA,20100113,10:15:00,10:14:57,15.5716
AA,20100113,10:30:00,10:29:59,15.545
AA,20100113,10:45:00,10:44:59,15.6098
AA,20100113,11:00:00,10:59:59,15.735
AA,20100113,11:15:00,11:14:59,15.7079
AA,20100113,11:30:00,11:29:57,15.806
AA,20100113,11:45:00,11:44:59,15.835
AA,20100113,12:00:00,11:59:52,15.8017
AA,20100113,12:15:00,12:14:59,15.86
AA,20100113,12:30:00,12:29:53,15.8797
AA,20100113,12:45:00,12:44:58,15.86
AA,20100113,13:00:00,12:59:58,15.8601
AA,20100113,13:15:00,13:14:58,15.8594
AA,20100113,13:30:00,13:29:59,15.826
AA,20100113,13:45:00,13:44:59,15.86
AA,20100113,14:00:00,13:59:57,15.8405
AA,20100113,14:15:00,14:14:59,15.85
AA,20100113,14:30:00,14:29:55,15.93
AA,20100113,14:45:00,14:44:56,15.935
AA,20100113,15:00:00,14:59:56,15.98
AA,20100113,15:15:00,15:14:59,15.9051
AA,20100113,15:30:00,15:29:59,15.95
AA,20100113,15:45:00,15:44:59,15.96
AA,20100113,16:00:00,15:59:58,15.98
AA,20100113,16:15:00,16:14:24,15.97
AA,20100114,9:30:00,16:28:57,15.99
AA,20100114,9:45:00,9:44:59,16.01
AA,20100114,10:00:00,9:59:59,15.95
AA,20100114,10:15:00,10:14:57,16.049
AA,20100114,10:30:00,10:29:59,16.0095
AA,20100114,10:45:00,10:44:59,15.92
AA,20100114,11:00:00,10:59:59,15.9
AA,20100114,11:15:00,11:14:57,15.94
AA,20100114,11:30:00,11:29:58,15.94
AA,20100114,11:45:00,11:44:59,15.93
AA,20100114,12:00:00,11:59:56,15.8899
AA,20100114,12:15:00,12:14:58,15.93
AA,20100114,12:30:00,12:29:59,15.92
AA,20100114,12:45:00,12:44:50,15.91
AA,20100114,13:00:00,12:59:59,15.92
AA,20100114,13:15:00,13:14:54,15.9273
AA,20100114,13:30:00,13:29:59,15.95
AA,20100114,13:45:00,13:44:59,15.938
AA,20100114,14:00:00,13:59:57,15.9221
AA,20100114,14:15:00,14:14:57,15.88
AA,20100114,14:30:00,14:29:58,15.9
AA,20100114,14:45:00,14:44:58,15.91
AA,20100114,15:00:00,14:59:58,15.94
AA,20100114,15:15:00,15:14:58,15.95
AA,20100114,15:30:00,15:29:59,15.86
AA,20100114,15:45:00,15:44:59,15.8
AA,20100114,16:00:00,15:59:59,15.81
AA,20100114,16:15:00,16:14:08,15.8
AA,20100115,9:30:00,16:29:38,15.76
AA,20100115,9:45:00,9:44:59,15.67
AA,20100115,10:00:00,9:59:59,15.65
AA,20100115,10:15:00,10:14:59,15.61
AA,20100115,10:30:00,10:29:58,15.6899
AA,20100115,10:45:00,10:44:56,15.689
AA,20100115,11:00:00,10:59:56,15.77
AA,20100115,11:15:00,11:14:59,15.76
AA,20100115,11:30:00,11:29:59,15.76
AA,20100115,11:45:00,11:44:54,15.68
AA,20100115,12:00:00,11:59:55,15.5401
AA,20100115,12:15:00,12:14:57,15.6
AA,20100115,12:30:00,12:29:59,15.535
AA,20100115,12:45:00,12:44:58,15.525
AA,20100115,13:00:00,12:59:56,15.51
AA,20100115,13:15:00,13:14:59,15.485
AA,20100115,13:30:00,13:29:54,15.48
AA,20100115,13:45:00,13:44:57,15.49
AA,20100115,14:00:00,13:59:59,15.52
AA,20100115,14:15:00,14:14:59,15.53
AA,20100115,14:30:00,14:29:59,15.4999
AA,20100115,14:45:00,14:44:56,15.5
AA,20100115,15:00:00,14:59:56,15.53
AA,20100115,15:15:00,15:14:57,15.57
AA,20100115,15:30:00,15:29:54,15.5505
AA,20100115,15:45:00,15:44:59,15.59
AA,20100115,16:00:00,15:59:59,15.64
AA,20100115,16:15:00,16:13:58,15.63
AA,20100119,9:30:00,16:27:38,15.58
AA,20100119,9:45:00,9:44:58,15.6484
AA,20100119,10:00:00,9:59:59,15.6694
AA,20100119,10:15:00,10:14:58,15.82
AA,20100119,10:30:00,10:29:59,15.66
AA,20100119,10:45:00,10:44:57,15.68
AA,20100119,11:00:00,10:59:59,15.68
AA,20100119,11:15:00,11:14:59,15.67
AA,20100119,11:30:00,11:29:58,15.6205
AA,20100119,11:45:00,11:44:58,15.6104
AA,20100119,12:00:00,11:59:59,15.55
AA,20100119,12:15:00,12:14:57,15.57
AA,20100119,12:30:00,12:29:58,15.4901
AA,20100119,12:45:00,12:44:57,15.495
AA,20100119,13:00:00,12:59:57,15.49
AA,20100119,13:15:00,13:14:57,15.47
AA,20100119,13:30:00,13:29:59,15.55
AA,20100119,13:45:00,13:44:56,15.54
AA,20100119,14:00:00,13:59:55,15.54
AA,20100119,14:15:00,14:14:57,15.57
AA,20100119,14:30:00,14:29:58,15.57
AA,20100119,14:45:00,14:44:58,15.5521
AA,20100119,15:00:00,14:59:59,15.575
AA,20100119,15:15:00,15:14:59,15.6
AA,20100119,15:30:00,15:29:59,15.615
AA,20100119,15:45:00,15:44:59,15.62
AA,20100119,16:00:00,15:59:59,15.61
AA,20100119,16:15:00,16:14:50,15.65
