SYMBOL,DATE,itime,rtime,iprice
AA,20070103,9:30:00,,30.05
AA,20070103,9:45:00,9:44:56,29.95
AA,20070103,10:00:00,9:59:52,29.52
AA,20070103,10:15:00,10:14:57,29.76
AA,20070103,10:30:00,10:29:59,29.85
AA,20070103,10:45:00,10:44:54,29.91
AA,20070103,11:00:00,10:59:59,29.93
AA,20070103,11:15:00,11:14:57,29.8
AA,20070103,11:30:00,11:29:51,29.63
AA,20070103,11:45:00,11:44:46,29.6165
AA,20070103,12:00:00,11:59:57,29.58
AA,20070103,12:15:00,12:14:53,29.59
AA,20070103,12:30:00,12:29:55,29.52
AA,20070103,12:45:00,12:44:59,29.61
AA,20070103,13:00:00,12:59:55,29.64
AA,20070103,13:15:00,13:14:59,29.59
AA,20070103,13:30:00,13:29:41,29.58
AA,20070103,13:45:00,13:44:59,29.52
AA,20070103,14:00:00,13:59:58,29.44
AA,20070103,14:15:00,14:14:56,29.38
AA,20070103,14:30:00,14:29:58,29.47
AA,20070103,14:45:00,14:44:59,29.38
AA,20070103,15:00:00,14:59:59,29.28
AA,20070103,15:15:00,15:14:57,29.28
AA,20070103,15:30:00,15:29:59,29.19
AA,20070103,15:45:00,15:44:59,29.34
AA,20070103,16:00:00,15:59:57,29.31
AA,20070103,16:15:00,16:14:03,29.5456
AA,20070104,9:30:00,16:26:08,29.33
AA,20070104,9:45:00,9:44:34,29.15
AA,20070104,10:00:00,9:59:58,29.29
AA,20070104,10:15:00,10:14:48,29.13
AA,20070104,10:30:00,10:29:59,29.03
AA,20070104,10:45:00,10:44:59,29
AA,20070104,11:00:00,10:59:57,29.07
AA,20070104,11:15:00,11:14:58,29.06
AA,20070104,11:30:00,11:29:57,29.03
AA,20070104,11:45:00,11:44:58,29.09
AA,20070104,12:00:00,11:59:54,29.1
AA,20070104,12:15:00,12:14:54,29.13
AA,20070104,12:30:00,12:29:59,29.04
AA,20070104,12:45:00,12:44:55,29.08
AA,20070104,13:00:00,12:59:54,29.0001
AA,20070104,13:15:00,13:14:57,28.95
AA,20070104,13:30:00,13:29:51,28.87
AA,20070104,13:45:00,13:44:59,28.88
AA,20070104,14:00:00,13:59:55,28.97
AA,20070104,14:15:00,14:14:48,28.91
AA,20070104,14:30:00,14:29:59,28.85
AA,20070104,14:45:00,14:44:14,28.94
AA,20070104,15:00:00,14:59:55,29.04
AA,20070104,15:15:00,15:14:58,29.05
AA,20070104,15:30:00,15:29:46,29.08
AA,20070104,15:45:00,15:44:57,29.13
AA,20070104,16:00:00,15:59:59,29.11
AA,20070104,16:15:00,16:13:57,29.0614
AA,20070105,9:30:00,16:22:26,29.11
AA,20070105,9:45:00,9:44:59,29.18
AA,20070105,10:00:00,9:59:59,29.06
AA,20070105,10:15:00,10:14:47,29.07
AA,20070105,10:30:00,10:29:56,29.03
AA,20070105,10:45:00,10:44:59,28.98
AA,20070105,11:00:00,10:59:59,28.84
AA,20070105,11:15:00,11:14:52,28.68
AA,20070105,11:30:00,11:29:59,28.57
AA,20070105,11:45:00,11:44:59,28.59
AA,20070105,12:00:00,11:59:56,28.66
AA,20070105,12:15:00,12:14:45,28.6815
AA,20070105,12:30:00,12:29:59,28.7
AA,20070105,12:45:00,12:44:59,28.76
AA,20070105,13:00:00,12:59:55,28.74
AA,20070105,13:15:00,13:14:55,28.71
AA,20070105,13:30:00,13:29:45,28.72
AA,20070105,13:45:00,13:44:36,28.69
AA,20070105,14:00:00,13:59:32,28.73
AA,20070105,14:15:00,14:14:59,28.74
AA,20070105,14:30:00,14:29:57,28.7
AA,20070105,14:45:00,14:44:56,28.7
AA,20070105,15:00:00,14:59:56,28.7
AA,20070105,15:15:00,15:14:36,28.69
AA,20070105,15:30:00,15:29:57,28.73
AA,20070105,15:45:00,15:44:59,28.76
AA,20070105,16:00:00,15:59:59,28.75
AA,20070105,16:15:00,16:13:35,28.798
AA,20070108,9:30:00,16:29:18,28.87
AA,20070108,9:45:00,9:44:58,28.86
AA,20070108,10:00:00,9:59:57,28.78
AA,20070108,10:15:00,10:14:53,28.73
AA,20070108,10:30:00,10:29:58,28.6
AA,20070108,10:45:00,10:44:51,28.58
AA,20070108,11:00:00,10:59:59,28.53
AA,20070108,11:15:00,11:14:57,28.47
AA,20070108,11:30:00,11:29:59,28.49
AA,20070108,11:45:00,11:44:59,28.55
AA,20070108,12:00:00,11:59:57,28.54
AA,20070108,12:15:00,12:14:59,28.45
AA,20070108,12:30:00,12:29:54,28.3785
