SYMBOL,DATE,itime,rtime,iprice
AA,20030102,9:30:00,,23.03
AA,20030102,9:45:00,9:44:51,23.02
AA,20030102,10:00:00,9:59:51,23.01
AA,20030102,10:15:00,10:14:53,23.43
AA,20030102,10:30:00,10:29:55,23.45
AA,20030102,10:45:00,10:44:51,23.57
AA,20030102,11:00:00,10:59:51,23.52
AA,20030102,11:15:00,11:14:26,23.49
AA,20030102,11:30:00,11:29:50,23.44
AA,20030102,11:45:00,11:44:17,23.38
AA,20030102,12:00:00,11:59:57,23.44
AA,20030102,12:15:00,12:14:52,23.44
AA,20030102,12:30:00,12:29:50,23.43
AA,20030102,12:45:00,12:44:28,23.4
AA,20030102,13:00:00,12:59:45,23.4
AA,20030102,13:15:00,13:13:57,23.43
AA,20030102,13:30:00,13:29:49,23.4
AA,20030102,13:45:00,13:44:26,23.42
AA,20030102,14:00:00,13:59:28,23.42
AA,20030102,14:15:00,14:14:47,23.45
AA,20030102,14:30:00,14:29:42,23.4
AA,20030102,14:45:00,14:44:30,23.39
AA,20030102,15:00:00,14:59:59,23.44
AA,20030102,15:15:00,15:14:56,23.44
AA,20030102,15:30:00,15:29:55,23.59
AA,20030102,15:45:00,15:44:53,23.54
AA,20030102,16:00:00,15:59:58,23.59
AA,20030102,16:15:00,16:10:07,23.55
AA,20030103,9:30:00,16:29:26,23.55
AA,20030103,9:45:00,9:44:53,23.32
AA,20030103,10:00:00,9:59:58,23.55
AA,20030103,10:15:00,10:14:41,23.77
AA,20030103,10:30:00,10:29:46,23.64
AA,20030103,10:45:00,10:44:57,23.7
AA,20030103,11:00:00,10:59:43,23.75
AA,20030103,11:15:00,11:14:11,23.76
AA,20030103,11:30:00,11:29:49,23.84
AA,20030103,11:45:00,11:44:55,23.7
AA,20030103,12:00:00,11:59:41,23.72
AA,20030103,12:15:00,12:14:43,23.69
AA,20030103,12:30:00,12:29:53,23.69
AA,20030103,12:45:00,12:44:57,23.67
AA,20030103,13:00:00,12:59:07,23.7
AA,20030103,13:15:00,13:14:27,23.66
AA,20030103,13:30:00,13:28:31,23.7
AA,20030103,13:45:00,13:44:55,23.7
AA,20030103,14:00:00,13:59:43,23.68
AA,20030103,14:15:00,14:14:46,23.62
AA,20030103,14:30:00,14:29:48,23.61
AA,20030103,14:45:00,14:44:51,23.66
AA,20030103,15:00:00,14:59:48,23.68
AA,20030103,15:15:00,15:14:59,23.72
AA,20030103,15:30:00,15:29:58,23.8
AA,20030103,15:45:00,15:44:45,23.79
AA,20030103,16:00:00,15:59:56,23.78
AA,20030103,16:15:00,16:13:23,23.68
AA,20030106,9:30:00,16:24:30,23.95
AA,20030106,9:45:00,9:44:59,24.04
AA,20030106,10:00:00,9:58:58,24.07
AA,20030106,10:15:00,10:14:34,24.04
AA,20030106,10:30:00,10:29:59,24.08
AA,20030106,10:45:00,10:44:59,24.1
AA,20030106,11:00:00,10:59:30,24.1
AA,20030106,11:15:00,11:14:13,24.09
AA,20030106,11:30:00,11:29:56,24.14
AA,20030106,11:45:00,11:44:32,24.12
AA,20030106,12:00:00,11:59:34,24.18
AA,20030106,12:15:00,12:14:57,24.18
AA,20030106,12:30:00,12:29:27,24.17
AA,20030106,12:45:00,12:44:55,24.17
AA,20030106,13:00:00,12:59:48,24.23
AA,20030106,13:15:00,13:14:59,24.26
AA,20030106,13:30:00,13:29:57,24.24
AA,20030106,13:45:00,13:44:08,24.22
AA,20030106,14:00:00,13:59:44,24.15
AA,20030106,14:15:00,14:14:45,24.21
AA,20030106,14:30:00,14:29:57,24.22
AA,20030106,14:45:00,14:44:56,24.24
AA,20030106,15:00:00,14:59:55,24.34
AA,20030106,15:15:00,15:14:58,24.34
AA,20030106,15:30:00,15:29:46,24.38
AA,20030106,15:45:00,15:44:51,24.44
AA,20030106,16:00:00,15:59:37,24.3
AA,20030106,16:15:00,16:10:52,24.1813
AA,20030107,9:30:00,16:27:42,24.4
AA,20030107,9:45:00,9:44:59,24.25
AA,20030107,10:00:00,9:59:51,24.23
AA,20030107,10:15:00,10:14:59,24.36
AA,20030107,10:30:00,10:29:52,24.25
AA,20030107,10:45:00,10:44:40,24.23
AA,20030107,11:00:00,10:59:59,24.2
AA,20030107,11:15:00,11:14:53,24.28
AA,20030107,11:30:00,11:29:54,24.33
AA,20030107,11:45:00,11:44:19,24.35
AA,20030107,12:00:00,11:59:12,24.39
AA,20030107,12:15:00,12:14:32,24.42
AA,20030107,12:30:00,12:29:49,24.46
AA,20030107,12:45:00,12:44:50,24.48
AA,20030107,13:00:00,12:59:31,24.46
AA,20030107,13:15:00,13:14:55,24.46
AA,20030107,13:30:00,13:29:24,24.54
AA,20030107,13:45:00,13:44:45,24.51
AA,20030107,14:00:00,13:59:55,24.57
AA,20030107,14:15:00,14:14:52,24.61
AA,20030107,14:30:00,14:29:34,24.65
AA,20030107,14:45:00,14:44:57,24.68
AA,20030107,15:00:00,14:59:31,24.63
AA,20030107,15:15:00,15:14:34,24.61
AA,20030107,15:30:00,15:29:59,24.53
AA,20030107,15:45:00,15:44:29,24.52
AA,20030107,16:00:00,15:59:59,24.38
AA,20030107,16:15:00,16:12:30,24.3905
AA,20030108,9:30:00,16:17:50,22.1
AA,20030108,9:45:00,9:44:47,22.36
AA,20030108,10:00:00,9:59:57,22.89
AA,20030108,10:15:00,10:14:58,22.83
AA,20030108,10:30:00,10:29:56,22.77
AA,20030108,10:45:00,10:44:41,22.51
AA,20030108,11:00:00,10:59:58,22.59
AA,20030108,11:15:00,11:14:44,22.54
AA,20030108,11:30:00,11:29:55,22.18
AA,20030108,11:45:00,11:44:59,21.89
AA,20030108,12:00:00,11:59:54,22.05
AA,20030108,12:15:00,12:14:56,22.08
AA,20030108,12:30:00,12:29:48,22.25
AA,20030108,12:45:00,12:44:59,22.2
